k,l,filename,classifier,accuracy,precision,recall,f1_score,roc_auc
0,0,cvd_k0_l0.csv,lr,0.7270588235294118,0.7539142273655548,0.6615890083632019,0.7047406936048362,0.789485425483608
0,0,cvd_k0_l0.csv,lr,0.7270588235294118,0.7539142273655548,0.6615890083632019,0.7047406936048362,0.789485425483608
0,0,cvd_k0_l0.csv,lr,0.7270588235294118,0.7539142273655548,0.6615890083632019,0.7047406936048362,0.789485425483608
0,0,cvd_k0_l0.csv,lr,0.7270588235294118,0.7539142273655548,0.6615890083632019,0.7047406936048362,0.789485425483608
0,0,cvd_k0_l0.csv,lr,0.7270588235294118,0.7539142273655548,0.6615890083632019,0.7047406936048362,0.789485425483608
0,0,cvd_k0_l0.csv,lr,0.7270588235294118,0.7539142273655548,0.6615890083632019,0.7047406936048362,0.789485425483608
0,0,cvd_k0_l0.csv,lr,0.7270588235294118,0.7539142273655548,0.6615890083632019,0.7047406936048362,0.789485425483608
0,0,cvd_k0_l0.csv,lr,0.7270588235294118,0.7539142273655548,0.6615890083632019,0.7047406936048362,0.789485425483608
0,0,cvd_k0_l0.csv,lr,0.7270588235294118,0.7539142273655548,0.6615890083632019,0.7047406936048362,0.789485425483608
0,0,cvd_k0_l0.csv,lr,0.7270588235294118,0.7539142273655548,0.6615890083632019,0.7047406936048362,0.789485425483608
0,0,cvd_k0_l0.csv,lr,0.7270588235294118,0.7539142273655548,0.6615890083632019,0.7047406936048362,0.789485425483608
0,0,cvd_k0_l0.csv,lr,0.7270588235294118,0.7539142273655548,0.6615890083632019,0.7047406936048362,0.789485425483608
0,0,cvd_k0_l0.csv,lr,0.7270588235294118,0.7539142273655548,0.6615890083632019,0.7047406936048362,0.789485425483608
0,0,cvd_k0_l0.csv,lr,0.7270588235294118,0.7539142273655548,0.6615890083632019,0.7047406936048362,0.789485425483608
0,0,cvd_k0_l0.csv,lr,0.7270588235294118,0.7539142273655548,0.6615890083632019,0.7047406936048362,0.789485425483608
0,0,cvd_k0_l0.csv,lr,0.7270588235294118,0.7539142273655548,0.6615890083632019,0.7047406936048362,0.789485425483608
0,0,cvd_k0_l0.csv,lr,0.7270588235294118,0.7539142273655548,0.6615890083632019,0.7047406936048362,0.789485425483608
